what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1349427643438
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1349427643445
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1349427643446
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1349427643458
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1349427643488
os,sysinfo,,,"macosx",1349427643492
arch,sysinfo,,,"x86",1349427643492
ws,sysinfo,,,"cocoa",1349427643492
locale,sysinfo,,,"en_US",1349427643492
processors,sysinfo,,,"2",1349427643492
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349427643492
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3811",1349427643492
java.specification.name,sysinfo,,,"Java Platform API Specification",1349427643492
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349427643492
java.specification.version,sysinfo,,,"1.6",1349427643492
java.vendor,sysinfo,,,"Apple Inc.",1349427643492
java.version,sysinfo,,,"1.6.0_22",1349427643492
java.vm.info,sysinfo,,,"mixed mode",1349427643492
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349427643492
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349427643492
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349427643492
java.vm.specification.version,sysinfo,,,"1.0",1349427643492
java.vm.vendor,sysinfo,,,"Apple Inc.",1349427643492
java.vm.version,sysinfo,,,"17.1-b03-307",1349427643492
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1349427643576
